student_id,school_type,grade,student_sex,지역
9907,고등,2,미정,서현2동
9911,고등,3,미정,수내1동
9912,고등,2,미정,수내1동
9913,고등,3,미정,분당동
9914,고등,2,미정,서현2동
10138,고등,2,미정,경기도
10140,고등,2,미정,경기도
10410,고등,1,남,서울특별시
10411,고등,1,남,서울특별시
10412,고등,2,남,서울특별시
10413,고등,2,남,서울특별시
10414,고등,2,남,서울특별시
10557,고등,2,남,서울특별시
10561,고등,2,남,서울특별시
10563,고등,2,여,서울특별시
10564,고등,2,여,서울특별시
10565,고등,2,여,서울특별시
10568,고등,2,여,서울특별시
11066,고등,2,미정,신촌동
11067,고등,2,미정,성남동
11068,고등,2,미정,서울특별시
11082,고등,2,미정,판교동
11083,고등,2,미정,판교동
11084,고등,2,미정,분당동
11087,고등,2,미정,야탑3동
11088,고등,2,미정,야탑3동
11089,고등,2,미정,야탑3동
11090,고등,2,미정,판교동
11091,고등,2,미정,서현1동
11093,고등,2,미정,서현1동
11094,고등,2,미정,서현1동
11096,고등,2,미정,서현1동
11098,고등,2,미정,서현1동
11099,고등,1,미정,야탑3동
11100,고등,1,미정,야탑3동
11101,고등,1,미정,야탑3동
11102,고등,1,미정,야탑3동
11103,고등,1,미정,경기도
11104,고등,3,미정,경기도
11105,고등,3,미정,경기도
11110,고등,1,미정,야탑3동
11111,고등,1,미정,야탑3동
11113,고등,1,미정,경기도
11299,고등,2,남,서울특별시
11300,고등,2,남,서울특별시
11301,고등,2,남,서울특별시
11302,고등,2,남,서울특별시
11303,고등,2,여,서울특별시
11304,고등,2,여,서울특별시
11572,고등,1,남,충청북도
11573,고등,1,남,충청북도
11574,고등,1,여,충청북도
11575,고등,1,여,충청북도
11747,고등,3,미정,경기도
11886,고등,3,여,충청북도
11915,고등,1,여,광주광역시
11916,고등,1,여,광주광역시
11917,고등,1,남,광주광역시
11918,고등,1,여,광주광역시
11919,고등,1,여,광주광역시
11998,고등,1,미정,하대원동
11999,고등,2,미정,하대원동
12000,고등,2,미정,하대원동
12006,고등,1,미정,신촌동
12007,고등,1,미정,신촌동
12008,고등,1,미정,신촌동
12009,고등,2,미정,신촌동
12010,고등,2,미정,신촌동
12011,고등,2,미정,신촌동
12012,고등,3,미정,신촌동
12013,고등,3,미정,신촌동
12014,고등,3,미정,신촌동
12015,고등,1,미정,신촌동
12016,고등,2,미정,신촌동
12028,고등,1,미정,경기도
12032,고등,2,미정,단대동
12033,고등,2,미정,복정동
12035,고등,2,미정,복정동
12037,고등,2,미정,단대동
12041,고등,2,미정,분당동
12042,고등,2,미정,서현2동
12340,고등,1,미정,경기도
12341,고등,1,미정,경기도
12342,고등,1,미정,경기도
12343,고등,1,미정,경기도
12344,고등,1,미정,경기도
12345,고등,1,미정,경기도
12346,고등,1,미정,경기도
12347,고등,1,미정,경기도
12348,고등,1,미정,경기도
12349,고등,1,미정,경기도
13263,고등,2,미정,신촌동
13269,고등,2,미정,판교동
13270,고등,3,미정,양지동
13273,고등,3,미정,양지동
13745,고등,1,남,강원도
13747,고등,1,여,강원도
13750,고등,1,여,강원도
13955,고등,1,미정,금곡동
13956,고등,1,미정,금곡동
13957,고등,1,미정,금곡동
13958,고등,1,미정,금곡동
13959,고등,1,미정,금곡동
13990,고등,2,미정,금곡동
13991,고등,2,미정,금곡동
13992,고등,2,미정,금곡동
13993,고등,2,미정,금곡동
13994,고등,2,미정,금곡동
14095,고등,1,미정,하대원동
14096,고등,3,미정,하대원동
14097,고등,1,미정,하대원동
14098,고등,2,미정,하대원동
14099,고등,3,미정,하대원동
14140,고등,1,미정,신촌동
14141,고등,1,미정,신촌동
14142,고등,1,미정,신촌동
14143,고등,1,미정,신촌동
14144,고등,1,미정,신촌동
14589,고등,1,미정,서현2동
14590,고등,1,미정,서현2동
14591,고등,1,미정,서현2동
14592,고등,1,미정,서현2동
14593,고등,1,미정,서현2동
14594,고등,1,미정,서현2동
14595,고등,1,미정,서현2동
14596,고등,1,미정,서현2동
14597,고등,1,미정,서현2동
14599,고등,1,미정,서현2동
14600,고등,1,미정,서현2동
14601,고등,1,미정,서현2동
14602,고등,1,미정,서현2동
14603,고등,1,미정,서현2동
